,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,b,1,ラファエル・ナダル,灘,2.0,,1,201608リオオリンピックその２,○,0,0,Deuce,1,0
1,1,,w,1,ラファエル・ナダル,灘,2.0,,1,201608リオオリンピックその２,×,15,0,Ad,0,1
2,2,,c,1,ラファエル・ナダル,灘,2.0,,1,201608リオオリンピックその２,×,15,15,Deuce,0,1
3,3,,b,1,ラファエル・ナダル,灘,2.0,,1,201608リオオリンピックその２,○,15,30,Ad,1,0
4,4,,w,1,ラファエル・ナダル,灘,2.0,,1,201608リオオリンピックその２,×,30,30,Deuce,0,1
5,5,,w,1,ラファエル・ナダル,灘,2.0,,1,201608リオオリンピックその２,○,30,40,Ad,1,0
6,6,,c,1,ラファエル・ナダル,灘,2.0,,1,201608リオオリンピックその２,×,40,40,Deuce,0,1
7,7,,c,1,ラファエル・ナダル,灘,2.0,,1,201608リオオリンピックその２,○,40,Ad,Ad,1,0
8,10,,c,2,ラファエル・ナダル,圭,2.0,,2,201608リオオリンピックその２,×,0,0,Deuce,0,1
9,11,,b,2,ラファエル・ナダル,圭,2.0,,2,201608リオオリンピックその２,×,0,15,Ad,0,1
10,12,,w,1,ラファエル・ナダル,圭,2.0,,2,201608リオオリンピックその２,○,0,30,Deuce,1,0
11,13,,w,1,ラファエル・ナダル,圭,2.0,,2,201608リオオリンピックその２,○,15,30,Ad,1,0
12,14,,c,2,ラファエル・ナダル,圭,2.0,,2,201608リオオリンピックその２,×,30,30,Deuce,0,1
13,15,,w,1,ラファエル・ナダル,圭,2.0,,2,201608リオオリンピックその２,○,30,40,Ad,1,0
14,16,,w,1,ラファエル・ナダル,圭,2.0,,2,201608リオオリンピックその２,○,40,40,Deuce,1,0
15,17,,,,ラファエル・ナダル,圭,2.0,,2,201608リオオリンピックその２,○,Ad,40,Ad,1,0
16,18,,c,1,ラファエル・ナダル,灘,2.0,,3,201608リオオリンピックその２,×,0,0,Deuce,0,1
17,19,,c,1,ラファエル・ナダル,灘,2.0,,3,201608リオオリンピックその２,○,0,15,Ad,1,0
18,20,,c,1,ラファエル・ナダル,灘,2.0,,3,201608リオオリンピックその２,○,15,15,Deuce,1,0
19,21,,c,1,ラファエル・ナダル,灘,2.0,,3,201608リオオリンピックその２,○,30,15,Ad,1,0
20,22,,c,1,ラファエル・ナダル,灘,2.0,,3,201608リオオリンピックその２,○,40,15,Deuce,1,0
21,23,,c,1,ラファエル・ナダル,圭,2.0,,4,201608リオオリンピックその２,○,0,0,Deuce,1,0
22,24,,c,2,ラファエル・ナダル,圭,2.0,,4,201608リオオリンピックその２,×,15,0,Ad,0,1
23,25,,w,1,ラファエル・ナダル,圭,2.0,,4,201608リオオリンピックその２,×,15,15,Deuce,0,1
24,26,,w,1,ラファエル・ナダル,圭,2.0,,4,201608リオオリンピックその２,○,15,30,Ad,1,0
25,27,,w,2,ラファエル・ナダル,圭,2.0,,4,201608リオオリンピックその２,○,30,30,Deuce,1,0
26,28,,c,1,ラファエル・ナダル,圭,2.0,,4,201608リオオリンピックその２,○,40,30,Ad,1,0
27,29,,c,1,ラファエル・ナダル,灘,2.0,,5,201608リオオリンピックその２,×,0,0,Deuce,0,1
28,30,,w,1,ラファエル・ナダル,灘,2.0,,5,201608リオオリンピックその２,×,0,15,Ad,0,1
29,31,,c,1,ラファエル・ナダル,灘,2.0,,5,201608リオオリンピックその２,×,0,30,Deuce,0,1
30,32,Ac,c,1,ラファエル・ナダル,灘,2.0,,5,201608リオオリンピックその２,×,0,40,Ad,0,1
31,33,,b,2,ラファエル・ナダル,圭,2.0,,6,201608リオオリンピックその２,○,0,0,Deuce,1,0
32,34,,b,2,ラファエル・ナダル,圭,2.0,,6,201608リオオリンピックその２,×,15,0,Ad,0,1
33,35,,c,1,ラファエル・ナダル,圭,2.0,,6,201608リオオリンピックその２,○,15,15,Deuce,1,0
34,36,,c,1,ラファエル・ナダル,圭,2.0,,6,201608リオオリンピックその２,○,30,15,Ad,1,0
35,37,Ac,c,1,ラファエル・ナダル,圭,2.0,,6,201608リオオリンピックその２,○,40,15,Deuce,1,0
36,38,,b,1,ラファエル・ナダル,灘,2.0,,7,201608リオオリンピックその２,×,0,0,Deuce,0,1
37,39,,c,2,ラファエル・ナダル,灘,2.0,,7,201608リオオリンピックその２,○,0,15,Ad,1,0
38,40,,c,1,ラファエル・ナダル,灘,2.0,,7,201608リオオリンピックその２,○,15,15,Deuce,1,0
39,41,,c,1,ラファエル・ナダル,灘,2.0,,7,201608リオオリンピックその２,○,30,15,Ad,1,0
40,42,,c,1,ラファエル・ナダル,灘,2.0,,7,201608リオオリンピックその２,×,40,15,Deuce,0,1
41,43,,c,1,ラファエル・ナダル,灘,2.0,,7,201608リオオリンピックその２,○,40,30,Ad,1,0
42,44,,w,1,ラファエル・ナダル,圭,2.0,,8,201608リオオリンピックその２,×,0,0,Deuce,0,1
43,45,,b,2,ラファエル・ナダル,圭,2.0,,8,201608リオオリンピックその２,×,0,15,Ad,0,1
44,46,,c,2,ラファエル・ナダル,圭,2.0,,8,201608リオオリンピックその２,○,0,30,Deuce,1,0
45,47,,c,1,ラファエル・ナダル,圭,2.0,,8,201608リオオリンピックその２,○,15,30,Ad,1,0
46,48,Do,o,2,ラファエル・ナダル,圭,2.0,,8,201608リオオリンピックその２,×,30,30,Deuce,0,1
47,49,,c,1,ラファエル・ナダル,圭,2.0,,8,201608リオオリンピックその２,○,30,40,Ad,1,0
48,50,,w,1,ラファエル・ナダル,圭,2.0,,8,201608リオオリンピックその２,×,40,40,Deuce,0,1
49,51,,w,2,ラファエル・ナダル,圭,2.0,,8,201608リオオリンピックその２,○,40,Ad,Ad,1,0
50,108,,w,1,ラファエル・ナダル,灘,2.0,,9,201608リオオリンピックその２,○,0,0,Deuce,1,0
51,109,,w,1,ラファエル・ナダル,灘,2.0,,9,201608リオオリンピックその２,×,15,0,Ad,0,1
52,110,,w,1,ラファエル・ナダル,灘,2.0,,9,201608リオオリンピックその２,×,15,15,Deuce,0,1
53,111,,w,2,ラファエル・ナダル,灘,2.0,,9,201608リオオリンピックその２,○,15,30,Ad,1,0
54,112,,c,1,ラファエル・ナダル,灘,2.0,,9,201608リオオリンピックその２,×,30,30,Deuce,0,1
55,113,Ac,c,1,ラファエル・ナダル,灘,2.0,,9,201608リオオリンピックその２,○,30,40,Ad,1,0
