,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
151,230,,w,1,マリン・チリッチ,圭,1,,8,201611WTF,○,40,0,Ad,1,0
152,280,,w,1,マリン・チリッチ,海,1,,9,201611WTF,○,0,0,Deuce,1,0
153,281,,c,2,マリン・チリッチ,海,1,,9,201611WTF,○,15,0,Ad,1,0
154,282,,c,1,マリン・チリッチ,海,1,,9,201611WTF,○,30,0,Deuce,1,0
155,283,,w,1,マリン・チリッチ,海,1,,9,201611WTF,×,40,0,Ad,0,1
156,284,,w,1,マリン・チリッチ,海,1,,9,201611WTF,○,40,15,Deuce,1,0
157,0,,×,○,マリン・チリッチ,圭,2,,1,201611WTF,×,0,0,Deuce,0,1
158,1,,c,1,マリン・チリッチ,圭,2,,1,201611WTF,×,0,15,Ad,0,1
159,2,,w,1,マリン・チリッチ,圭,2,,1,201611WTF,○,0,30,Deuce,1,0
160,3,,w,2,マリン・チリッチ,圭,2,,1,201611WTF,×,15,30,Ad,0,1
161,4,,w,2,マリン・チリッチ,圭,2,,1,201611WTF,○,15,40,Deuce,1,0
162,5,,w,2,マリン・チリッチ,圭,2,,1,201611WTF,○,30,40,Ad,1,0
163,6,,b,1,マリン・チリッチ,圭,2,,1,201611WTF,○,40,40,Deuce,1,0
164,7,,b,2,マリン・チリッチ,海,2,,2,201611WTF,○,0,0,Deuce,1,0
165,8,Aw,w,1,マリン・チリッチ,海,2,,2,201611WTF,×,15,0,Ad,0,1
166,9,,w,1,マリン・チリッチ,海,2,,2,201611WTF,×,15,15,Deuce,0,1
167,10,Ac,c,1,マリン・チリッチ,海,2,,2,201611WTF,×,15,30,Ad,0,1
168,11,,b,2,マリン・チリッチ,海,2,,2,201611WTF,×,15,40,Deuce,0,1
169,14,,w,2,マリン・チリッチ,圭,2,,1,201611WTF,×,15,15,Deuce,0,1
170,16,,w,2,マリン・チリッチ,圭,2,,1,201611WTF,○,30,30,Deuce,1,0
171,17,,b,1,マリン・チリッチ,圭,2,,1,201611WTF,○,40,30,Ad,1,0
172,23,,c,2,マリン・チリッチ,圭,2,,3,201611WTF,○,0,0,Deuce,1,0
173,24,,w,2,マリン・チリッチ,圭,2,,3,201611WTF,×,15,0,Ad,0,1
174,25,,w,1,マリン・チリッチ,圭,2,,3,201611WTF,×,15,15,Deuce,0,1
175,26,,b,1,マリン・チリッチ,圭,2,,3,201611WTF,○,15,30,Ad,1,0
176,27,,b,2,マリン・チリッチ,圭,2,,3,201611WTF,×,30,30,Deuce,0,1
177,44,,w,2,マリン・チリッチ,海,2,,4,201611WTF,×,0,0,Deuce,0,1
178,45,,b,1,マリン・チリッチ,海,2,,4,201611WTF,×,0,15,Ad,0,1
179,46,,w,2,マリン・チリッチ,海,2,,4,201611WTF,×,0,30,Deuce,0,1
180,47,,w,2,マリン・チリッチ,海,2,,4,201611WTF,○,0,40,Ad,1,0
181,48,,c,2,マリン・チリッチ,海,2,,4,201611WTF,○,15,40,Deuce,1,0
182,49,,w,2,マリン・チリッチ,海,2,,4,201611WTF,○,30,40,Ad,1,0
183,50,,c,1,マリン・チリッチ,海,2,,4,201611WTF,×,40,40,Deuce,0,1
184,51,Ac,c,1,マリン・チリッチ,海,2,,4,201611WTF,×,40,Ad,Ad,0,1
185,76,,b,2,マリン・チリッチ,圭,2,,5,201611WTF,×,0,0,Deuce,0,1
186,77,,w,1,マリン・チリッチ,圭,2,,5,201611WTF,×,0,15,Ad,0,1
187,78,Do,o,2,マリン・チリッチ,圭,2,,5,201611WTF,×,0,30,Deuce,0,1
188,79,,w,2,マリン・チリッチ,圭,2,,5,201611WTF,×,0,40,Ad,0,1
189,108,,w,1,マリン・チリッチ,海,2,,6,201611WTF,×,0,0,Deuce,0,1
190,109,,w,2,マリン・チリッチ,海,2,,6,201611WTF,×,0,15,Ad,0,1
191,110,,c,2,マリン・チリッチ,海,2,,6,201611WTF,×,0,30,Deuce,0,1
192,111,,w,2,マリン・チリッチ,海,2,,6,201611WTF,×,0,40,Ad,0,1
193,144,,?,1,マリン・チリッチ,圭,2,,7,201611WTF,○,0,0,Deuce,1,0
194,145,,w,2,マリン・チリッチ,圭,2,,7,201611WTF,×,15,0,Ad,0,1
195,146,,c,1,マリン・チリッチ,圭,2,,7,201611WTF,×,15,15,Deuce,0,1
196,147,,c,1,マリン・チリッチ,圭,2,,7,201611WTF,○,15,30,Ad,1,0
197,148,,c,1,マリン・チリッチ,圭,2,,7,201611WTF,○,30,30,Deuce,1,0
198,149,,b,1,マリン・チリッチ,圭,2,,7,201611WTF,○,40,30,Ad,1,0
199,188,,w,2,マリン・チリッチ,海,2,,8,201611WTF,○,0,0,Deuce,1,0
200,189,,b,2,マリン・チリッチ,海,2,,8,201611WTF,×,15,0,Ad,0,1
201,190,,w,2,マリン・チリッチ,海,2,,8,201611WTF,○,15,15,Deuce,1,0
202,191,,w,1,マリン・チリッチ,海,2,,8,201611WTF,×,30,15,Ad,0,1
203,192,,w,1,マリン・チリッチ,海,2,,8,201611WTF,×,30,30,Deuce,0,1
204,193,,c,2,マリン・チリッチ,海,2,,8,201611WTF,○,30,40,Ad,1,0
205,194,Aw,w,1,マリン・チリッチ,海,2,,8,201611WTF,×,40,40,Deuce,0,1
206,195,Ac,c,1,マリン・チリッチ,海,2,,8,201611WTF,×,40,Ad,Ad,0,1
207,0,,b,2,マリン・チリッチ,圭,3,,1,201611WTF,○,0,0,Deuce,1,0
208,1,,b,2,マリン・チリッチ,圭,3,,1,201611WTF,×,15,0,Ad,0,1
209,2,,c,1,マリン・チリッチ,圭,3,,1,201611WTF,○,15,15,Deuce,1,0
210,3,Ac,c,1,マリン・チリッチ,圭,3,,1,201611WTF,○,30,15,Ad,1,0
211,4,Do,o,2,マリン・チリッチ,圭,3,,1,201611WTF,×,40,15,Deuce,0,1
212,5,,b,1,マリン・チリッチ,圭,3,,1,201611WTF,○,40,30,Ad,1,0
213,6,,b,2,マリン・チリッチ,圭,3,,1,201611WTF,○,,,Deuce,1,0
214,12,Aw,w,1,マリン・チリッチ,海,3,,2,201611WTF,×,0,0,Deuce,0,1
215,13,Aw,w,1,マリン・チリッチ,海,3,,2,201611WTF,×,0,15,Ad,0,1
216,14,,b,2,マリン・チリッチ,海,3,,2,201611WTF,×,0,30,Deuce,0,1
217,15,Dn,n,2,マリン・チリッチ,海,3,,2,201611WTF,○,0,40,Ad,1,0
218,16,,b,2,マリン・チリッチ,海,3,,2,201611WTF,×,15,40,Deuce,0,1
219,28,,w,2,マリン・チリッチ,圭,3,,3,201611WTF,○,0,0,Deuce,1,0
220,29,,c,2,マリン・チリッチ,圭,3,,3,201611WTF,×,15,0,Ad,0,1
221,30,,b,1,マリン・チリッチ,圭,3,,3,201611WTF,×,15,15,Deuce,0,1
222,31,,c,1,マリン・チリッチ,圭,3,,3,201611WTF,○,15,30,Ad,1,0
223,32,,b,1,マリン・チリッチ,圭,3,,3,201611WTF,○,30,30,Deuce,1,0
224,33,,,,マリン・チリッチ,圭,3,,3,201611WTF,○,40,30,Ad,1,0
225,51,,w,1,マリン・チリッチ,海,3,,4,201611WTF,○,0,0,Deuce,1,0
226,52,Aw,w,1,マリン・チリッチ,海,3,,4,201611WTF,×,15,0,Ad,0,1
227,53,,b,2,マリン・チリッチ,海,3,,4,201611WTF,○,15,15,Deuce,1,0
228,54,,w,2,マリン・チリッチ,海,3,,4,201611WTF,×,30,15,Ad,0,1
229,55,,w,1,マリン・チリッチ,海,3,,4,201611WTF,×,30,30,Deuce,0,1
230,56,,b,1,マリン・チリッチ,海,3,,4,201611WTF,×,30,40,Ad,0,1
231,80,,b,1,マリン・チリッチ,圭,3,,5,201611WTF,○,0,0,Deuce,1,0
232,81,,w,1,マリン・チリッチ,圭,3,,5,201611WTF,○,15,0,Ad,1,0
233,82,,w,1,マリン・チリッチ,圭,3,,5,201611WTF,×,30,0,Deuce,0,1
234,83,,w,1,マリン・チリッチ,圭,3,,5,201611WTF,×,30,15,Ad,0,1
235,84,,b,2,マリン・チリッチ,圭,3,,5,201611WTF,×,30,30,Deuce,0,1
236,85,,b,2,マリン・チリッチ,圭,3,,5,201611WTF,×,30,40,Ad,0,1
237,115,,w,1,マリン・チリッチ,海,3,,6,201611WTF,×,0,0,Deuce,0,1
238,116,Aw,w,1,マリン・チリッチ,海,3,,6,201611WTF,×,0,15,Ad,0,1
239,117,,c,2,マリン・チリッチ,海,3,,6,201611WTF,×,0,30,Deuce,0,1
240,118,,w,1,マリン・チリッチ,海,3,,6,201611WTF,×,0,40,Ad,0,1
241,152,,c,1,マリン・チリッチ,圭,3,,7,201611WTF,○,0,0,Deuce,1,0
242,153,,b,1,マリン・チリッチ,圭,3,,7,201611WTF,×,15,0,Ad,0,1
243,154,,w,1,マリン・チリッチ,圭,3,,7,201611WTF,○,15,15,Deuce,1,0
244,155,,c,2,マリン・チリッチ,圭,3,,7,201611WTF,×,30,15,Ad,0,1
245,156,,c,2,マリン・チリッチ,圭,3,,7,201611WTF,○,30,30,Deuce,1,0
246,157,,w,1,マリン・チリッチ,圭,3,,7,201611WTF,○,40,30,Ad,1,0
247,197,,c,2,マリン・チリッチ,海,3,,8,201611WTF,×,0,0,Deuce,0,1
248,198,,c,2,マリン・チリッチ,海,3,,8,201611WTF,×,0,15,Ad,0,1
249,199,,b,2,マリン・チリッチ,海,3,,8,201611WTF,○,0,30,Deuce,1,0
250,200,,w,2,マリン・チリッチ,海,3,,8,201611WTF,○,15,30,Ad,1,0
251,201,Ac,c,1,マリン・チリッチ,海,3,,8,201611WTF,×,30,30,Deuce,0,1
252,202,,w,2,マリン・チリッチ,海,3,,8,201611WTF,×,30,40,Ad,0,1
253,248,,b,1,マリン・チリッチ,圭,3,,9,201611WTF,×,0,0,Deuce,0,1
254,249,,w,1,マリン・チリッチ,圭,3,,9,201611WTF,×,0,15,Ad,0,1
255,250,,w,1,マリン・チリッチ,圭,3,,9,201611WTF,×,0,30,Deuce,0,1
256,251,,b,2,マリン・チリッチ,圭,3,,9,201611WTF,○,0,40,Ad,1,0
257,252,,w,1,マリン・チリッチ,圭,3,,9,201611WTF,×,15,40,Deuce,0,1
258,0,,w,1,アンディ・マレー,稀,1,,1,201611WTF,×,0,0,Deuce,0,1
259,1,Ac,c,1,アンディ・マレー,稀,1,,1,201611WTF,×,0,15,Ad,0,1
260,2,,b,2,アンディ・マレー,稀,1,,1,201611WTF,○,0,30,Deuce,1,0
261,3,,c,1,アンディ・マレー,稀,1,,1,201611WTF,○,15,30,Ad,1,0
262,4,,c,1,アンディ・マレー,稀,1,,1,201611WTF,×,30,30,Deuce,0,1
263,5,,b,2,アンディ・マレー,稀,1,,1,201611WTF,×,30,40,Ad,0,1
264,6,,w,1,アンディ・マレー,稀,1,,1,201611WTF,×,,,Deuce,0,1
265,12,,b,2,アンディ・マレー,圭,1,,2,201611WTF,○,0,0,Deuce,1,0
266,13,,w,1,アンディ・マレー,圭,1,,2,201611WTF,×,15,0,Ad,0,1
267,14,,c,1,アンディ・マレー,圭,1,,2,201611WTF,×,15,15,Deuce,0,1
268,15,,c,1,アンディ・マレー,圭,1,,2,201611WTF,○,15,30,Ad,1,0
269,16,,c,1,アンディ・マレー,圭,1,,2,201611WTF,○,30,30,Deuce,1,0
270,17,,b,1,アンディ・マレー,圭,1,,2,201611WTF,○,40,30,Ad,1,0
271,30,,w,1,アンディ・マレー,稀,1,,3,201611WTF,○,0,0,Deuce,1,0
272,31,,b,2,アンディ・マレー,稀,1,,3,201611WTF,×,15,0,Ad,0,1
273,32,,b,2,アンディ・マレー,稀,1,,3,201611WTF,×,15,15,Deuce,0,1
274,33,,w,2,アンディ・マレー,稀,1,,3,201611WTF,○,15,30,Ad,1,0
275,34,,c,2,アンディ・マレー,稀,1,,3,201611WTF,×,30,30,Deuce,0,1
276,35,,c,1,アンディ・マレー,稀,1,,3,201611WTF,○,30,40,Ad,1,0
277,36,Aw,w,1,アンディ・マレー,稀,1,,3,201611WTF,×,40,40,Deuce,0,1
278,37,,w,2,アンディ・マレー,稀,1,,3,201611WTF,○,40,Ad,Ad,1,0
279,39,,c,1,アンディ・マレー,稀,1,,3,201611WTF,×,Ad,40,Ad,0,1
280,66,,b,1,アンディ・マレー,圭,1,,4,201611WTF,×,0,0,Deuce,0,1
281,67,,c,1,アンディ・マレー,圭,1,,4,201611WTF,○,0,15,Ad,1,0
282,68,,c,2,アンディ・マレー,圭,1,,4,201611WTF,×,15,15,Deuce,0,1
283,69,,b,2,アンディ・マレー,圭,1,,4,201611WTF,○,15,30,Ad,1,0
284,70,,w,1,アンディ・マレー,圭,1,,4,201611WTF,○,30,30,Deuce,1,0
