,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
60,390,201808トロント,ロビン・ハーセ,1.0,12,馳,×,1,c,193,,15,30,Ad,0,1
61,0,201808トロント,ロビン・ハーセ,2.0,1,圭,○,1,w,157,,0,0,Deuce,1,0
62,1,201808トロント,ロビン・ハーセ,2.0,1,圭,×,2,w,147,,15,0,Ad,0,1
63,2,201808トロント,ロビン・ハーセ,2.0,1,圭,×,1,w,155,,15,15,Deuce,0,1
64,3,201808トロント,ロビン・ハーセ,2.0,1,圭,×,1,b,184,,15,30,Ad,0,1
65,4,201808トロント,ロビン・ハーセ,2.0,1,圭,○,2,c,141,,15,40,Deuce,1,0
66,5,201808トロント,ロビン・ハーセ,2.0,1,圭,×,1,w,182,,30,40,Ad,0,1
67,7,201808トロント,ロビン・ハーセ,2.0,1,圭,×,2,w,147,,40,Ad,Ad,0,1
68,12,201808トロント,ロビン・ハーセ,2.0,2,馳,×,1,c,202,,0,0,Deuce,0,1
69,13,201808トロント,ロビン・ハーセ,2.0,2,馳,×,1,c,199,Ac,0,15,Ad,0,1
70,14,201808トロント,ロビン・ハーセ,2.0,2,馳,×,1,c,201,,0,30,Deuce,0,1
71,15,201808トロント,ロビン・ハーセ,2.0,2,馳,×,1,w,199,,0,40,Ad,0,1
72,26,201808トロント,ロビン・ハーセ,2.0,3,圭,○,1,c,183,,0,0,Deuce,1,0
73,27,201808トロント,ロビン・ハーセ,2.0,3,圭,×,2,w,156,,15,0,Ad,0,1
74,28,201808トロント,ロビン・ハーセ,2.0,3,圭,○,1,c,192,Ac,15,15,Deuce,1,0
75,29,201808トロント,ロビン・ハーセ,2.0,3,圭,○,1,w,188,,30,15,Ad,1,0
76,30,201808トロント,ロビン・ハーセ,2.0,3,圭,○,2,b,159,,40,15,Deuce,1,0
77,61,201808トロント,ロビン・ハーセ,2.0,5,圭,×,1,w,171,,0,0,Deuce,0,1
78,62,201808トロント,ロビン・ハーセ,2.0,5,圭,○,2,b,151,,0,15,Ad,1,0
79,63,201808トロント,ロビン・ハーセ,2.0,5,圭,○,1,w,161,,15,15,Deuce,1,0
80,64,201808トロント,ロビン・ハーセ,2.0,5,圭,×,1,c,185,,30,15,Ad,0,1
81,65,201808トロント,ロビン・ハーセ,2.0,5,圭,×,1,w,154,,30,30,Deuce,0,1
82,66,201808トロント,ロビン・ハーセ,2.0,5,圭,×,1,w,173,,30,40,Ad,0,1
83,82,201808トロント,ロビン・ハーセ,2.0,4,馳,×,2,w,179,,0,0,Deuce,0,1
84,83,201808トロント,ロビン・ハーセ,2.0,4,馳,×,2,w,152,,0,15,Ad,0,1
85,84,201808トロント,ロビン・ハーセ,2.0,4,馳,○,2,w,176,,0,30,Deuce,1,0
86,85,201808トロント,ロビン・ハーセ,2.0,4,馳,○,2,w,163,,15,30,Ad,1,0
87,86,201808トロント,ロビン・ハーセ,2.0,4,馳,×,1,c,,Ac,30,30,Deuce,0,1
88,87,201808トロント,ロビン・ハーセ,2.0,4,馳,○,1,c,191,,30,40,Ad,1,0
89,88,201808トロント,ロビン・ハーセ,2.0,4,馳,×,1,w,180,,40,40,Deuce,0,1
90,89,201808トロント,ロビン・ハーセ,2.0,4,馳,○,1,w,200,,40,Ad,Ad,1,0
91,137,201808トロント,ロビン・ハーセ,2.0,7,圭,×,2,b,152,,0,0,Deuce,0,1
92,138,201808トロント,ロビン・ハーセ,2.0,7,圭,×,2,s,,Ds,0,15,Ad,0,1
93,139,201808トロント,ロビン・ハーセ,2.0,7,圭,×,2,b,151,,0,30,Deuce,0,1
94,140,201808トロント,ロビン・ハーセ,2.0,7,圭,○,2,w,142,,0,40,Ad,1,0
95,141,201808トロント,ロビン・ハーセ,2.0,7,圭,×,2,b,156,,15,40,Deuce,0,1
