index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,201808全米オープン,ノバク・ジョコビッチ,1,1,獏,×,1,c,181,,0,0,Deuce,0,1
1,201808全米オープン,ノバク・ジョコビッチ,1,1,獏,×,2,c,167,,0,15,Ad,0,1
2,201808全米オープン,ノバク・ジョコビッチ,1,1,獏,×,1,w,159,,0,30,Deuce,0,1
3,201808全米オープン,ノバク・ジョコビッチ,1,1,獏,○,1,x,180,,0,40,Ad,1,0
4,201808全米オープン,ノバク・ジョコビッチ,1,1,獏,×,1,w,168,,15,40,Deuce,0,1
10,201808全米オープン,ノバク・ジョコビッチ,1,2,圭,×,2,c,146,,0,0,Deuce,0,1
11,201808全米オープン,ノバク・ジョコビッチ,1,2,圭,×,2,w,127,,0,15,Ad,0,1
12,201808全米オープン,ノバク・ジョコビッチ,1,2,圭,×,1,w,152,,0,30,Deuce,0,1
13,201808全米オープン,ノバク・ジョコビッチ,1,2,圭,○,1,c,172,,0,40,Ad,1,0
14,201808全米オープン,ノバク・ジョコビッチ,1,2,圭,○,1,c,186,,15,40,Deuce,1,0
15,201808全米オープン,ノバク・ジョコビッチ,1,2,圭,○,2,w,136,,30,40,Ad,1,0
16,201808全米オープン,ノバク・ジョコビッチ,1,2,圭,×,1,c,191,,40,40,Deuce,0,1
17,201808全米オープン,ノバク・ジョコビッチ,1,2,圭,○,1,w,173,,40,Ad,Ad,1,0
35,201808全米オープン,ノバク・ジョコビッチ,1,3,獏,○,2,w,151,,0,0,Deuce,1,0
36,201808全米オープン,ノバク・ジョコビッチ,1,3,獏,×,1,c,178,,15,0,Ad,0,1
37,201808全米オープン,ノバク・ジョコビッチ,1,3,獏,○,2,w,151,,15,15,Deuce,1,0
38,201808全米オープン,ノバク・ジョコビッチ,1,3,獏,×,1,b,181,,30,15,Ad,0,1
39,201808全米オープン,ノバク・ジョコビッチ,1,3,獏,×,1,c,186,,30,30,Deuce,0,1
40,201808全米オープン,ノバク・ジョコビッチ,1,3,獏,×,2,c,160,,30,40,Ad,0,1
62,201808全米オープン,ノバク・ジョコビッチ,1,4,圭,×,1,w,164,,0,0,Deuce,0,1
63,201808全米オープン,ノバク・ジョコビッチ,1,4,圭,○,2,w,131,,0,15,Ad,1,0
64,201808全米オープン,ノバク・ジョコビッチ,1,4,圭,○,1,c,188,,15,15,Deuce,1,0
65,201808全米オープン,ノバク・ジョコビッチ,1,4,圭,○,1,w,183,,30,15,Ad,1,0
66,201808全米オープン,ノバク・ジョコビッチ,1,4,圭,○,1,c,188,,40,15,Deuce,1,0
93,201808全米オープン,ノバク・ジョコビッチ,1,5,獏,○,?,?,,,0,0,Deuce,1,0
94,201808全米オープン,ノバク・ジョコビッチ,1,5,獏,×,2,c,146,,15,0,Ad,0,1
95,201808全米オープン,ノバク・ジョコビッチ,1,5,獏,×,2,w,144,,15,15,Deuce,0,1
96,201808全米オープン,ノバク・ジョコビッチ,1,5,獏,×,,,144,,15,30,Ad,0,1
97,201808全米オープン,ノバク・ジョコビッチ,1,5,獏,×,,,144,,15,40,Deuce,0,1
129,201808全米オープン,ノバク・ジョコビッチ,1,6,圭,○,1,w,157,,0,0,Deuce,1,0
130,201808全米オープン,ノバク・ジョコビッチ,1,6,圭,×,2,w,138,,15,0,Ad,0,1
131,201808全米オープン,ノバク・ジョコビッチ,1,6,圭,○,1,w,165,,15,15,Deuce,1,0
132,201808全米オープン,ノバク・ジョコビッチ,1,6,圭,○,1,c,185,,30,15,Ad,1,0
133,201808全米オープン,ノバク・ジョコビッチ,1,6,圭,×,2,b,152,,40,15,Deuce,0,1
134,201808全米オープン,ノバク・ジョコビッチ,1,6,圭,×,1,c,168,,40,30,Ad,0,1
135,201808全米オープン,ノバク・ジョコビッチ,1,6,圭,○,1,w,157,,40,40,Deuce,1,0
136,201808全米オープン,ノバク・ジョコビッチ,1,6,圭,○,1,c,189,,Ad,40,Ad,1,0
176,201808全米オープン,ノバク・ジョコビッチ,1,7,獏,×,2,c,133,,0,0,Deuce,0,1
177,201808全米オープン,ノバク・ジョコビッチ,1,7,獏,×,1,c,177,,0,15,Ad,0,1
178,201808全米オープン,ノバク・ジョコビッチ,1,7,獏,×,1,w,172,,0,30,Deuce,0,1
179,201808全米オープン,ノバク・ジョコビッチ,1,7,獏,×,1,c,167,,0,40,Ad,0,1
223,201808全米オープン,ノバク・ジョコビッチ,1,8,圭,×,1,w,157,,0,0,Deuce,0,1
224,201808全米オープン,ノバク・ジョコビッチ,1,8,圭,×,1,w,181,,0,15,Ad,0,1
225,201808全米オープン,ノバク・ジョコビッチ,1,8,圭,○,1,w,157,Aw,0,30,Deuce,1,0
226,201808全米オープン,ノバク・ジョコビッチ,1,8,圭,○,1,w,185,,15,30,Ad,1,0
227,201808全米オープン,ノバク・ジョコビッチ,1,8,圭,○,2,c,138,,30,30,Deuce,1,0
228,201808全米オープン,ノバク・ジョコビッチ,1,8,圭,×,1,w,183,,40,30,Ad,0,1
229,201808全米オープン,ノバク・ジョコビッチ,1,8,圭,○,1,b,162,,40,40,Deuce,1,0
230,201808全米オープン,ノバク・ジョコビッチ,1,8,圭,○,1,w,172,,Ad,40,Ad,1,0
282,201808全米オープン,ノバク・ジョコビッチ,1,9,獏,×,1,w,162,,0,0,Deuce,0,1
283,201808全米オープン,ノバク・ジョコビッチ,1,9,獏,×,1,c,181,,0,15,Ad,0,1
284,201808全米オープン,ノバク・ジョコビッチ,1,9,獏,×,1,c,183,,0,30,Deuce,0,1
285,201808全米オープン,ノバク・ジョコビッチ,1,9,獏,×,1,c,177,Ac,0,40,Ad,0,1
0,201808全米オープン,ノバク・ジョコビッチ,2,1,圭,×,?,,,,0,0,Deuce,0,1
1,201808全米オープン,ノバク・ジョコビッチ,2,1,圭,×,2,w,140,,0,15,Ad,0,1
2,201808全米オープン,ノバク・ジョコビッチ,2,1,圭,○,1,c,186,,0,30,Deuce,1,0
3,201808全米オープン,ノバク・ジョコビッチ,2,1,圭,○,1,c,186,,15,30,Ad,1,0
