,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
49,226,201807ウィンブルドン,ニック・キリオス,2.0,9,霧,×,1,w,189,,30,30,Deuce,0,1
50,227,201807ウィンブルドン,ニック・キリオス,2.0,9,霧,○,2,w,165,,30,40,Ad,1,0
51,228,201807ウィンブルドン,ニック・キリオス,2.0,9,霧,×,1,c,214,Ac,40,40,Deuce,0,1
52,229,201807ウィンブルドン,ニック・キリオス,2.0,9,霧,×,2,b,172,,40,Ad,Ad,0,1
53,283,201807ウィンブルドン,ニック・キリオス,2.0,10,圭,×,1,w,165,,0,0,Deuce,0,1
54,284,201807ウィンブルドン,ニック・キリオス,2.0,10,圭,○,1,w,188,,0,15,Ad,1,0
55,285,201807ウィンブルドン,ニック・キリオス,2.0,10,圭,○,1,w,162,,15,15,Deuce,1,0
56,286,201807ウィンブルドン,ニック・キリオス,2.0,10,圭,○,2,b,149,,30,15,Ad,1,0
57,287,201807ウィンブルドン,ニック・キリオス,2.0,10,圭,○,1,w,160,,40,15,Deuce,1,0
58,346,201807ウィンブルドン,ニック・キリオス,2.0,11,霧,×,1,w,197,,0,0,Deuce,0,1
59,347,201807ウィンブルドン,ニック・キリオス,2.0,11,霧,×,1,c,201,Ac,0,15,Ad,0,1
60,348,201807ウィンブルドン,ニック・キリオス,2.0,11,霧,×,1,w,183,,0,30,Deuce,0,1
61,349,201807ウィンブルドン,ニック・キリオス,2.0,11,霧,×,1,w,,,0,40,Ad,0,1
62,412,201807ウィンブルドン,ニック・キリオス,2.0,12,圭,○,1,w,164,,0,0,Deuce,1,0
63,413,201807ウィンブルドン,ニック・キリオス,2.0,12,圭,○,1,b,181,,15,0,Ad,1,0
64,414,201807ウィンブルドン,ニック・キリオス,2.0,12,圭,○,1,b,168,,30,0,Deuce,1,0
65,415,201807ウィンブルドン,ニック・キリオス,2.0,12,圭,○,1,w,159,,40,0,Ad,1,0
66,0,201807ウィンブルドン,ニック・キリオス,2.0,13,霧,×,2,b,177,,0,0,Deuce,0,1
67,1,201807ウィンブルドン,ニック・キリオス,2.0,13,圭,○,2,w,,,0,1,Ad,1,0
68,2,201807ウィンブルドン,ニック・キリオス,2.0,13,圭,○,2,b,,,1,1,Deuce,1,0
69,3,201807ウィンブルドン,ニック・キリオス,2.0,13,霧,×,1,w,210,,2,1,Ad,0,1
70,4,201807ウィンブルドン,ニック・キリオス,2.0,13,霧,×,2,w,,,2,2,Deuce,0,1
71,5,201807ウィンブルドン,ニック・キリオス,2.0,13,圭,○,1,w,189,,2,3,Ad,1,0
