,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
55,290,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,×,1,w,,,40,Ad,Ad,0,1
56,0,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,×,1,w,157,,0,0,Deuce,0,1
57,1,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,×,1,w,,,0,15,Ad,0,1
58,2,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,○,2,w,117,,0,30,Deuce,1,0
59,3,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,○,1,c,,,15,30,Ad,1,0
60,4,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,×,2,c,129,,30,30,Deuce,0,1
61,5,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,○,1,w,142,,30,40,Ad,1,0
62,6,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,○,1,w,148,,40,40,Deuce,1,0
63,7,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,○,1,w,157,,Ad,40,Ad,1,0
64,16,201904バルセロナ,ダニール・メドベージェフ,2.0,2,芽,○,1,w,169,,0,0,Deuce,1,0
65,17,201904バルセロナ,ダニール・メドベージェフ,2.0,2,芽,×,1,c,188,,15,0,Ad,0,1
66,18,201904バルセロナ,ダニール・メドベージェフ,2.0,2,芽,×,1,w,174,,15,15,Deuce,0,1
67,19,201904バルセロナ,ダニール・メドベージェフ,2.0,2,芽,×,1,w,,,15,30,Ad,0,1
68,20,201904バルセロナ,ダニール・メドベージェフ,2.0,2,芽,×,2,w,143,,15,40,Deuce,0,1
69,34,201904バルセロナ,ダニール・メドベージェフ,2.0,3,圭,○,1,c,186,Ac,0,0,Deuce,1,0
70,35,201904バルセロナ,ダニール・メドベージェフ,2.0,3,圭,○,1,c,176,,15,0,Ad,1,0
71,36,201904バルセロナ,ダニール・メドベージェフ,2.0,3,圭,○,1,b,,,30,0,Deuce,1,0
72,37,201904バルセロナ,ダニール・メドベージェフ,2.0,3,圭,×,2,c,146,,40,0,Ad,0,1
73,38,201904バルセロナ,ダニール・メドベージェフ,2.0,3,圭,○,1,b,169,,40,15,Deuce,1,0
74,57,201904バルセロナ,ダニール・メドベージェフ,2.0,4,芽,×,1,c,184,,0,0,Deuce,0,1
75,58,201904バルセロナ,ダニール・メドベージェフ,2.0,4,芽,○,1,w,182,,0,15,Ad,1,0
